feat,ret,n_days,n_obs,ic_mean,ic_std,ir,hit_rate,ic_p5,ic_p95,pillar,verdict
event_news_ratio_5d,fwd_ret_5,491,937852,-0.007012601127950525,0.04054896746727556,-0.17294154613455795,0.5498981670061099,-0.07580379087475686,0.05580748204435081,event,WEAK
event_mention_surge,fwd_ret_5,486,937852,-0.007667214332458304,0.037015660783959244,-0.2071343363882591,0.5576131687242798,-0.06895030402660046,0.05160973586016868,event,WEAK
event_mention_cnt_5d,fwd_ret_5,491,937852,-0.007886769555909985,0.053368831383239494,-0.1477785694664251,0.5478615071283096,-0.09455262033175206,0.07880357146016724,event,WEAK
event_mention_cnt_20d,fwd_ret_5,499,937852,-0.012612143610558187,0.06821339775217895,-0.18489247019153673,0.561122244488978,-0.1254662471461453,0.10287528252959362,event,WEAK
fund_net_income_sq,fwd_ret_1,455,827268,0.02905043738228495,0.0719724850100494,0.4036325462185818,0.6329670329670329,-0.08748599685585792,0.14167221314671838,fund,STRONG
fund_nopat,fwd_ret_1,455,814566,0.028986287517239452,0.07176374839166227,0.4039126741128696,0.6483516483516484,-0.08767819894525032,0.13685670578336948,fund,STRONG
fund_operating_income_sq,fwd_ret_1,455,814566,0.028843137626982047,0.07145532967213418,0.4036527122515,0.643956043956044,-0.08665234093500623,0.13733708841785539,fund,STRONG
fund_total_comprehensive_income_sq,fwd_ret_1,455,827268,0.025879575086276307,0.06832611267172142,0.3787655125444778,0.6351648351648351,-0.08616291680729324,0.13508463849013758,fund,STRONG
fund_operating_margin_sq,fwd_ret_1,455,813774,0.02319814626748878,0.06031666446290028,0.3846059206698599,0.6571428571428571,-0.07731784233753076,0.12018455095149923,fund,STRONG
fund_roic,fwd_ret_1,455,126680,0.02269436529058111,0.11294554624471806,0.20093191847874586,0.6065934065934065,-0.17293786064300115,0.20214247055957957,fund,STRONG
fund_net_margin_sq,fwd_ret_1,455,813774,0.022160302212464317,0.0547778614180899,0.40454850990488056,0.6637362637362637,-0.06709168674087436,0.10860777278799573,fund,STRONG
fund_roe,fwd_ret_1,455,827207,0.020710679565443806,0.05181497377419878,0.3997045266431587,0.6703296703296703,-0.06277961725691827,0.10919139146177133,fund,STRONG
fund_roa,fwd_ret_1,455,827207,0.02069849405912565,0.051802064441493496,0.39956890294407144,0.6681318681318681,-0.06392195966702534,0.10914383314216072,fund,STRONG
fund_eps,fwd_ret_1,455,662722,0.01752388747229482,0.07936978110446756,0.22078790225249137,0.6,-0.12102446544084974,0.13339354004767662,fund,STRONG
fund_revenue_sq,fwd_ret_1,455,813990,0.017150445187909605,0.07276061141660972,0.23571056996360695,0.610989010989011,-0.10688532536566872,0.1350260206434641,fund,STRONG
fund_cost_of_revenue_sq,fwd_ret_1,455,812959,0.01512060468448266,0.07181935112317428,0.21053663738272937,0.5956043956043956,-0.10593738925469134,0.13183292192947643,fund,STRONG
fund_gross_margin_sq,fwd_ret_1,455,812772,0.0071250461378560915,0.053662747831682095,0.13277453029808356,0.5714285714285714,-0.08505087867589656,0.09453008170775283,fund,WEAK
fund_ebitda,fwd_ret_1,455,814566,0.004295935311767802,0.07510334833374721,0.05720031672459337,0.5406593406593406,-0.11734685623954147,0.12140592031429086,fund,REJECT
fund_debt_equity,fwd_ret_1,455,826787,0.004089194778929909,0.046684112785226335,0.08759285621947124,0.5318681318681319,-0.07139301941174946,0.0849262687269993,fund,REJECT
fund_current_ratio,fwd_ret_1,455,831326,-0.0038015180057724618,0.04585421961989886,-0.08290443141949706,0.5340659340659341,-0.0728963101578376,0.07363351333964656,fund,REJECT
fund_ebitda_margin,fwd_ret_1,455,813488,-0.0050274759554642,0.07477313098365927,-0.06723639747762993,0.5142857142857142,-0.12785831445410104,0.11393567830783113,fund,WEAK
fund_revenue_yoy,fwd_ret_1,211,371528,-0.0061005930617688215,0.05060036190027936,-0.12056421797519082,0.5450236966824644,-0.09205669496643021,0.06560782323604743,fund,WEAK
fund_nopat,fwd_ret_20,436,779398,0.043135389021164094,0.08087892162757754,0.5333328901167753,0.7545871559633027,-0.07628710472609057,0.16622904121666912,fund,STRONG
fund_operating_income_sq,fwd_ret_20,436,779398,0.04300405469364893,0.08046587625111379,0.5344384066538228,0.7522935779816514,-0.07283694801448415,0.16357657613642201,fund,STRONG
fund_net_income_sq,fwd_ret_20,436,791587,0.04129459150553899,0.08011937631871716,0.51541329205145,0.7270642201834863,-0.0881895541698405,0.1638983330965999,fund,STRONG
fund_roic,fwd_ret_20,436,121645,0.03692476870945994,0.09953488066374537,0.3709731549706819,0.6674311926605505,-0.13605926588339945,0.1916067749246226,fund,STRONG
fund_eps,fwd_ret_20,436,634854,0.03386931533991359,0.07727073769146887,0.4383200724076037,0.6743119266055045,-0.08401328973877764,0.18167535866324874,fund,STRONG
fund_total_comprehensive_income_sq,fwd_ret_20,436,791587,0.03335196364057509,0.07562778184797198,0.441001478895939,0.7087155963302753,-0.10820679293226773,0.1578455306485489,fund,STRONG
fund_operating_margin_sq,fwd_ret_20,436,778625,0.031498165635658916,0.07318427154613237,0.43039528808869487,0.6995412844036697,-0.07120601042355129,0.1668996425261286,fund,STRONG
fund_net_margin_sq,fwd_ret_20,436,778625,0.030900712360453966,0.06791135915503355,0.45501537216934973,0.731651376146789,-0.09038838451491826,0.15744274320959706,fund,STRONG
fund_roa,fwd_ret_20,436,791526,0.022681373038367442,0.06434718028473321,0.352484334791415,0.6651376146788991,-0.08783829256467823,0.13836540278193518,fund,STRONG
fund_roe,fwd_ret_20,436,791526,0.022662677546382716,0.06437715809500466,0.352029791575115,0.6651376146788991,-0.08802419988560684,0.1383146350318854,fund,STRONG
